,User,Date Created,Number of Likes,Source of Tweet,Tweet
3080,KazeemA70699797,2022-12-23 07:58:27+00:00,1,Twitter Web App,"@GRVlagos keep telling yourself lies. wether it took Lagos 20yrs or not, you and your Obidunce group will fall flat like deflated tyre in 2023"
3081,Tony4israel,2022-12-23 07:58:04+00:00,23,Twitter for Android,"@SavvyRinu @GRVlagos @nnamani19 When people are biased,they will fail to ask questions,what unfortunate and blind followers"
3082,OlusojiOke,2022-12-23 07:57:46+00:00,2,Twitter Web App,"@GRVlagos 🤣🤣🤣 it's not your fault, you that can't even win Lagos Island local govt chairmanship election dey open mouth dey talk abi? 🤡"
3083,meforochukwu,2022-12-23 07:57:02+00:00,1,Twitter for Android,@Midewills @GRVlagos https://t.co/gttuG2HCHf
3084,Nizzy_dee,2022-12-23 07:56:40+00:00,0,Twitter for iPhone,@naija_nemesis @imd1973 @anewname758 @GRVlagos @GRVlagos2023 Why are we trying to act woke when we know it won’t work ? There are certain place such cars should not be played the indigenous part. Aren’t you all getting it ? It’s affecting the OBI’s LP gospel in that part they are playing tribal card already and how do we defend it??
3085,OBINNA28353678,2022-12-23 07:56:40+00:00,2,Twitter for Android,"@SalimAyofe @GRVlagos @PeterObi PO Dan talk am openly, so that you and other politicians fit go and verify. If 1% of the allocation is missing he will stop campaigning. Provide evidence of this your tweet and he will stop campaigning. You can send it to arisetv, channelstv or even Nta self."
3086,JohnLaw01107528,2022-12-23 07:55:31+00:00,0,Twitter for Android,@wandeo @DibuaPeter @Ifejiro1 @GRVlagos And please show me the rail you dey talk about. Maybe a picture of it ok.
3087,Upwego01,2022-12-23 07:55:15+00:00,0,Twitter for Android,"@GRVlagos Nigerians make we Wise Up 
No b to clap o
This people no wetin den dey do 

Imagine the money stolen from this skeletal project"
3088,JohnLaw01107528,2022-12-23 07:54:38+00:00,1,Twitter for Android,@wandeo @DibuaPeter @Ifejiro1 @GRVlagos Guy are you sure you're okay? 😂 No talk wetin you no know oo
3089,khene_toni,2022-12-23 07:53:52+00:00,0,Twitter for Android,"@Nizzy_dee @brynolino @design_freek @GRVlagos @GRVlagos2023 Then he will lose &amp; who wins does what he wants to do. If it is suffering he brings, both those who voted &amp; who didn't, the indigenes &amp; the ""not among"" will all suffer it. Nobody is doing anybody a favor."
3090,naija_nemesis,2022-12-23 07:52:47+00:00,0,Twitter for Android,"@Nizzy_dee @imd1973 @anewname758 @GRVlagos @GRVlagos2023 But we are still preaching Abiola in Igboland of Umuahia as well, so what's your point? All of Nigeria is for All Nigerians...There is nothing like a Yoruba Nigerian or Igbo Nigerian, we are all Nigerians living in Nigeria, stop with the tribalism and let's move Nigeria forward"
3091,OlamideGregory1,2022-12-23 07:52:41+00:00,0,Twitter for iPhone,@Fabulous_4c @Nizzy_dee @bheehiive @GRVlagos @GRVlagos2023 U b agbado but u sabi better thing
3092,OBOGZY,2022-12-23 07:52:13+00:00,0,Twitter for Android,"@GRVlagos You have said it all, let them come to country like UAE, QATAR etc to learn how to deliver massive infrastructure projects to the people, sometimes I just laff seeing people commissioning like they are doing party, it's really unfortunate for our dear country called Nigeria."
3093,Nizzy_dee,2022-12-23 07:51:44+00:00,0,Twitter for iPhone,"@naija_nemesis @imd1973 @anewname758 @GRVlagos @GRVlagos2023 The Yoruba man is of a mixed tribe, OKOYE isn’t he is like a pure FULANI trying to represent a part of the East. You all WOULDnt allow that you know!! I’m only bringing this forth to GRV for him to know what’s going on in Ibeju/LEKKI JIC."
3094,KennethOdoemene,2022-12-23 07:51:35+00:00,0,Twitter for Android,"@Nizzy_dee @popoola_reuben @design_freek @GRVlagos @GRVlagos2023 Guess you just came of Age. Igbos have been contesting and winning elections in Lagos, up to Federal Level. Take your nepotism and ethnic colouration somewhere else."
3095,badmusadewale1,2022-12-23 07:51:22+00:00,0,Twitter for Android,@1776_yori @Emekagopara @GRVlagos I understand opposition must put out info to discredit it for political gains but the criticism is not constructive enough IMO.
3096,AniekanUmeng,2022-12-23 07:51:07+00:00,0,Twitter for Android,@GRVlagos Na me be fool na
3097,1776_yori,2022-12-23 07:49:44+00:00,4,Twitter for Android,@ensurewords @GRVlagos And turn Lagos state to Abia?
3098,kizzye,2022-12-23 07:49:33+00:00,0,Twitter for Android,@CasmirOlisakwe @GRVlagos Use*
3099,OLAbittt,2022-12-23 07:49:28+00:00,0,Twitter for iPhone,@wandeo @GRVlagos Fool
3100,naija_nemesis,2022-12-23 07:49:27+00:00,0,Twitter for Android,"@Nizzy_dee @imd1973 @anewname758 @GRVlagos @GRVlagos2023 That's a saying you just made up now to prove your point...Fulani man was the first major of Enugu, it is all over the internet, a Nigerian can contest for election anywhere is Nigeria is law, I suggest you go and contest in Surulere and change that law please instead of ranting"
3101,wandeo,2022-12-23 07:49:06+00:00,0,Twitter for Android,@SeunDollars @kaskingery @OnkuMike @GRVlagos Lagos has red and blue line Anambra has Zero
3102,OlusojiOke,2022-12-23 07:49:04+00:00,0,Twitter Web App,@olumanial @kistoboy4luv @GRVlagos People wey dey craze.
3103,emmanuelsondeji,2022-12-23 07:48:54+00:00,2,Twitter for Android,"@ReformerOluseun @GRVlagos Ahhhhh,,, 😭😭😭😭😭

Na ogun go punish all these people - baba agbado and his boys"
3104,Nizzy_dee,2022-12-23 07:48:48+00:00,0,Twitter for iPhone,"@naija_nemesis @imd1973 @anewname758 @GRVlagos @GRVlagos2023 It’s not a characteristic the candidacy is wrong… in all way we want power and should respect the opinion of people, this is an indigenous part TINUBU dominates through impoverishment, you can’t be preaching OBI at federal and still preach OKOYE on their land."
3105,NorlandHealth,2022-12-23 07:48:46+00:00,0,Twitter for iPhone,"@wandeo @GRVlagos You see how unintelligent you are? You will soon accuse PO of not building a seaport. Go to school, NO! Use your God-given head nko? No!"
3106,SafwanAlfathy,2022-12-23 07:48:13+00:00,0,Twitter for Android,@GRVlagos @GoziconC please bombard this guy with those facts you tweeted yesterday
3107,beholder002,2022-12-23 07:48:07+00:00,2,Twitter for Android,"@DeejayTunnex @ObaTojo @GRVlagos @maxyspride The way you lots throw the words ""good government"" around makes one wonders if you truly know what it means. If you are asked the meaning now, you will be mentioning building of brewery. You guys are hundreds of years behind this epoch."
