,User,Date Created,Number of Likes,Source of Tweet,Tweet
96,lagospress,2023-01-01 18:17:33+00:00,0,Twitter Web App,Governor @jidesanwoolu while wishing Lagos State residents a Happy New Year during the Greater Lagos Fiesta programme held at Eko Atlantic City said 2023 will be a blessed year for Lagosians.
97,lagospress,2023-01-01 18:17:30+00:00,0,Twitter Web App,Governor @jidesanwoolu also urged Lagosians to perform their civic responsibilities during the 2023 general elections and the National Population and Housing Census holding this year.
98,lagospress,2023-01-01 18:17:25+00:00,0,Twitter Web App,Governor @jidesanwoolu in his New Year message assured Lagos residents that bigger and greater things will happen in the New Year
99,lagospress,2023-01-01 18:17:24+00:00,0,Twitter Web App,"Lagos State Governor, Mr. @jidesanwoolu, has wished Nigerians, especially Lagosians a prosperous New Year, urging them to continue to live in peace and harmony and be law-abiding."
100,TalkWithJane,2023-01-01 18:12:55+00:00,2,Twitter for Android,"@akerele_s @jidesanwoolu @KemPatriot 😂😂😂 He has blocked you, stop wailing... It's not illegal, he has every right to."
101,debonairUS1,2023-01-01 18:07:35+00:00,0,Twitter for Android,@jidesanwoolu Correct Governor
102,ekundayo_dami1,2023-01-01 18:07:12+00:00,0,Twitter for Android,"@akinwale_cfi @ProfOsinbajo @jidesanwoolu I believe you and support you in faith.. 

Go, coach"
103,luckylopez34,2023-01-01 17:42:45+00:00,0,Twitter for Android,"Our working governor @jidesanwoolu  the @followlastma  made life unbearable for motorists, they collaborate with @PoliceNG  and TOUTS to illegally extort Lagosians , the state government needs to make a public address to condemn their activities."
104,luckylopez34,2023-01-01 17:42:44+00:00,0,Twitter for Android,"Happy New Year sir,our working governor @jidesanwoolu God bless you abundantly, very quick one sir, the @lastma , TOUTS , @PoliceNG  really dealt with Lagosians and their businesses in 2022. 
@Soundcity985FM , @followlasg @AP @PremiumTimesng @NGRPresident @ProfOsinbajo"
105,ezekingx,2023-01-01 17:40:04+00:00,0,Twitter for Android,"You cannot be a Nigerian and hate Nigerian this much to campaign for a man with this level of cognitive decline to be the president.
You are indeed wickedly evil.
@ruffydfire @abati1990 @realFFK @fkeyamo @PeterPsquare @temiokomi @AishaYesufu @ShehuSani @jidesanwoolu @ShehuSani"
106,MHungbeme,2023-01-01 17:37:16+00:00,0,Twitter for Android,"@OlorunesanTruth @jidesanwoolu Justice must be done.
#WeCantContinueLikeThis"
107,AdeolaOmowunm11,2023-01-01 17:34:28+00:00,0,Twitter for Android,@akerele_s @alabiopeyemiola @OfficialAPCNg @jidesanwoolu @MBuhari @officialABAT Small but might our Powerful DG mr virgin
108,RoboticyouM,2023-01-01 17:31:00+00:00,0,Twitter for iPhone,@sheriff963 @jidesanwoolu I know 😂😂😂…he wanted to say “passed out”
109,akinwale_cfi,2023-01-01 17:26:51+00:00,56,Twitter for Android,"Wishes actually come true &amp; Prayers answered for those who DO NOT GIVE UP:

IN 2021 -This Farmer met &amp; had conversation with Nigeria No2 man - VP @ProfOsinbajo 

IN 2022 -This Farmer met &amp; had conversation with Lagos No1 man -Gov @jidesanwoolu 

IN 2023- it will be the PRESIDENT"
110,DemocratLagos,2023-01-01 17:25:51+00:00,5,Twitter for Android,"Thank you our dear Youth Engineer for supporting this course. We will make you proud at all fronts.

@SegunDawodu 
@jidesanwoolu https://t.co/X3hF1v77DL"
111,DemocratLagos,2023-01-01 17:24:34+00:00,6,Twitter for Android,Troops from the Brigade lads and lasses wowed the Participants. The Voluntary Youth Organizations are pledging their supports for @jidesanwoolu https://t.co/pT8kM1EFca
112,NgeneJulius,2023-01-01 17:23:55+00:00,0,Twitter for Android,"YOUR PVC IS THE ONLY POWER YOU HAVE TO ELECT CREDIBLE LEADERS IN NIGERIA.
GO N GET IT.
VOTE WISELY!!!!.
@PeterObi , @NgLabour , @OfficialAPCNg , @OfficialPDPNig , @channelstv , @AishaYesufu , @rudeboypsquare , @Ekitipikin , @jidesanwoolu , https://t.co/uL3zv60yde"
113,DemocratLagos,2023-01-01 17:23:21+00:00,3,Twitter for Android,"The Team Lead for @LSETF Mrs Teju Abisoye was very practical in her engagement. We are ready for the task.

All for @jidesanwoolu 

#SanwoAgain
#SanwoLekansi https://t.co/b4HxD0I46z"
